"","name","type","county","pop2020","pop2010","pop_change","mi2","km2","density","date"
"318","Pico Rivera","City","Los Angeles",62088,"62,942","−1.4%","8.32","21.5","7,462.5/sq mi (2,881.3/km2)",1958-01-29
"319","Piedmont","City","Alameda",11270,"10,667","+5.7%","1.70","4.4","6,629.4/sq mi (2,559.6/km2)",1907-01-31
"320","Pinole","City","Contra Costa",19022,"18,390","+3.4%","5.10","13.2","3,729.8/sq mi (1,440.1/km2)",1903-06-25
"321","Pismo Beach","City","San Luis Obispo",8072,"7,655","+5.4%","3.50","9.1","2,306.3/sq mi (890.5/km2)",1946-04-25
"322","Pittsburg","City","Contra Costa",76416,"63,264","+20.8%","17.68","45.8","4,322.2/sq mi (1,668.8/km2)",1903-06-25
"323","Placentia","City","Orange",51824,"50,533","+2.6%","6.61","17.1","7,840.2/sq mi (3,027.1/km2)",1926-12-02
"324","Placerville†","City","El Dorado",10747,"10,389","+3.4%","5.84","15.1","1,840.2/sq mi (710.5/km2)",1854-05-13
"325","Pleasant Hill","City","Contra Costa",34613,"33,152","+4.4%","7.08","18.3","4,888.8/sq mi (1,887.6/km2)",1961-11-14
"326","Pleasanton","City","Alameda",79871,"70,285","+13.6%","24.14","62.5","3,308.7/sq mi (1,277.5/km2)",1894-06-18
"327","Plymouth","City","Amador",1078,"1,005","+7.3%","2.65","6.9","406.8/sq mi (157.1/km2)",1917-02-08
"328","Point Arena","City","Mendocino",460,"449","+2.4%","1.37","3.5","335.8/sq mi (129.6/km2)",1908-07-11
"329","Pomona","City","Los Angeles",151713,"149,058","+1.8%","22.99","59.5","6,599.1/sq mi (2,547.9/km2)",1888-01-06
"330","Port Hueneme","City","Ventura",21954,"21,723","+1.1%","4.42","11.4","4,967.0/sq mi (1,917.8/km2)",1948-03-24
"331","Porterville","City","Tulare",62623,"54,165","+15.6%","18.65","48.3","3,357.8/sq mi (1,296.5/km2)",1902-05-07
"332","Portola","City","Plumas",2100,"2,104","−0.2%","5.41","14.0","388.2/sq mi (149.9/km2)",1946-05-16
"333","Portola Valley","Town","San Mateo",4456,"4,353","+2.4%","9.08","23.5","490.7/sq mi (189.5/km2)",1964-07-14
"334","Poway","City","San Diego",48841,"47,811","+2.2%","39.08","101.2","1,249.8/sq mi (482.5/km2)",1980-12-01
"335","Rancho Cordova","City","Sacramento",79332,"64,776","+22.5%","34.57","89.5","2,294.8/sq mi (886.0/km2)",2003-07-01
"336","Rancho Cucamonga","City","San Bernardino",174453,"165,269","+5.6%","40.11","103.9","4,349.4/sq mi (1,679.3/km2)",1977-11-30
"337","Rancho Mirage","City","Riverside",16999,"17,218","−1.3%","25.35","65.7","670.6/sq mi (258.9/km2)",1973-08-03
"338","Rancho Palos Verdes","City","Los Angeles",42287,"41,643","+1.5%","13.47","34.9","3,139.3/sq mi (1,212.1/km2)",1973-09-07
"339","Rancho Santa Margarita","City","Orange",47949,"47,853","+0.2%","12.90","33.4","3,717.0/sq mi (1,435.1/km2)",2000-01-01
"340","Red Bluff†","City","Tehama",14710,"14,076","+4.5%","7.56","19.6","1,945.8/sq mi (751.3/km2)",1876-03-31
"341","Redding†","City","Shasta",93611,"89,861","+4.2%","59.65","154.5","1,569.3/sq mi (605.9/km2)",1887-10-04
"342","Redlands","City","San Bernardino",73168,"68,747","+6.4%","35.99","93.2","2,033.0/sq mi (784.9/km2)",1888-12-03
"343","Redondo Beach","City","Los Angeles",71576,"66,747","+7.2%","6.21","16.1","11,525.9/sq mi (4,450.2/km2)",1892-04-29
"344","Redwood City†","City","San Mateo",84292,"76,815","+9.7%","19.34","50.1","4,358.4/sq mi (1,682.8/km2)",1867-05-11
"345","Reedley","City","Fresno",25227,"24,194","+4.3%","5.51","14.3","4,578.4/sq mi (1,767.7/km2)",1913-02-18
"346","Rialto","City","San Bernardino",104026,"99,171","+4.9%","24.09","62.4","4,318.2/sq mi (1,667.3/km2)",1911-11-17
"347","Richmond","City","Contra Costa",116448,"103,701","+12.3%","30.05","77.8","3,875.1/sq mi (1,496.2/km2)",1905-08-07
"348","Ridgecrest","City","Kern",27959,"27,616","+1.2%","20.86","54.0","1,340.3/sq mi (517.5/km2)",1963-11-29
"349","Rio Dell","City","Humboldt",3379,"3,368","+0.3%","2.28","5.9","1,482.0/sq mi (572.2/km2)",1965-02-23
"350","Rio Vista","City","Solano",10005,"7,360","+35.9%","6.60","17.1","1,515.9/sq mi (585.3/km2)",1894-01-06
"351","Ripon","City","San Joaquin",16013,"14,297","+12.0%","5.33","13.8","3,004.3/sq mi (1,160.0/km2)",1945-11-27
"352","Riverbank","City","Stanislaus",24865,"22,678","+9.6%","4.71","12.2","5,279.2/sq mi (2,038.3/km2)",1922-08-23
"353","Riverside†","City","Riverside",314998,"303,871","+3.7%","81.23","210.4","3,877.9/sq mi (1,497.2/km2)",1883-10-11
"354","Rocklin","City","Placer",71601,"56,974","+25.7%","19.81","51.3","3,614.4/sq mi (1,395.5/km2)",1893-02-24
"355","Rohnert Park","City","Sonoma",44390,"40,971","+8.3%","7.29","18.9","6,089.2/sq mi (2,351.0/km2)",1962-08-28
"356","Rolling Hills","City","Los Angeles",1739,"1,860","−6.5%","2.99","7.7","581.6/sq mi (224.6/km2)",1957-01-24
"357","Rolling Hills Estates","City","Los Angeles",8280,"8,067","+2.6%","3.58","9.3","2,312.8/sq mi (893.0/km2)",1957-09-18
"358","Rosemead","City","Los Angeles",51185,"53,764","−4.8%","5.16","13.4","9,919.6/sq mi (3,830.0/km2)",1959-08-04
"359","Roseville","City","Placer",147773,"118,788","+24.4%","44.08","114.2","3,352.4/sq mi (1,294.4/km2)",1909-04-10
"360","Ross","Town","Marin",2338,"2,415","−3.2%","1.56","4.0","1,498.7/sq mi (578.7/km2)",1908-08-21
"361","Sacramento‡","City","Sacramento",524943,"466,488","+12.5%","98.61","255.4","5,323.4/sq mi (2,055.4/km2)",1850-02-27
"362","St. Helena","City","Napa",5430,"5,814","−6.6%","4.96","12.8","1,094.8/sq mi (422.7/km2)",1876-03-24
"363","Salinas†","City","Monterey",163542,"150,441","+8.7%","23.52","60.9","6,953.3/sq mi (2,684.7/km2)",1874-03-04
"364","San Anselmo","Town","Marin",12830,"12,336","+4.0%","2.68","6.9","4,787.3/sq mi (1,848.4/km2)",1907-04-09
"365","San Bernardino†","City","San Bernardino",222101,"209,924","+5.8%","62.13","160.9","3,574.8/sq mi (1,380.2/km2)",1869-08-10
"366","San Bruno","City","San Mateo",43908,"41,114","+6.8%","5.49","14.2","7,997.8/sq mi (3,088.0/km2)",1914-12-23
"367","San Carlos","City","San Mateo",30722,"28,406","+8.2%","5.41","14.0","5,678.7/sq mi (2,192.6/km2)",1925-07-08
"368","San Clemente","City","Orange",64293,"63,522","+1.2%","18.36","47.6","3,501.8/sq mi (1,352.1/km2)",1928-02-28
"369","San Diego†","City","San Diego",1386932,"1,307,402","+6.1%","325.88","844.0","4,256.0/sq mi (1,643.2/km2)",1850-03-27
"370","San Dimas","City","Los Angeles",34924,"33,371","+4.7%","15.03","38.9","2,323.6/sq mi (897.2/km2)",1960-08-04
"371","San Fernando","City","Los Angeles",23946,"23,645","+1.3%","2.37","6.1","10,103.8/sq mi (3,901.1/km2)",1911-08-31
"372","San Francisco†","City and county","San Francisco",873965,"805,235","+8.5%","46.91","121.5","18,630.7/sq mi (7,193.3/km2)",1850-04-15
"373","San Gabriel","City","Los Angeles",39568,"39,718","−0.4%","4.14","10.7","9,557.5/sq mi (3,690.2/km2)",1913-04-24
"374","San Jacinto","City","Riverside",53898,"44,199","+21.9%","25.96","67.2","2,076.2/sq mi (801.6/km2)",1888-04-20
"375","San Joaquin","City","Fresno",3701,"4,001","−7.5%","1.20","3.1","3,084.2/sq mi (1,190.8/km2)",1920-02-14
"376","San Jose†","City","Santa Clara",1013240,"945,942","+7.1%","178.26","461.7","5,684.1/sq mi (2,194.6/km2)",1850-03-27
"377","San Juan Bautista","City","San Benito",2089,"1,862","+12.2%","0.79","2.0","2,644.3/sq mi (1,021.0/km2)",1896-05-04
"378","San Juan Capistrano","City","Orange",35196,"34,593","+1.7%","14.43","37.4","2,439.1/sq mi (941.7/km2)",1961-04-19
"379","San Leandro","City","Alameda",91008,"84,950","+7.1%","13.32","34.5","6,832.4/sq mi (2,638.0/km2)",1872-03-21
"380","San Luis Obispo†","City","San Luis Obispo",47063,"45,119","+4.3%","13.31","34.5","3,535.9/sq mi (1,365.2/km2)",1856-02-16
"381","San Marcos","City","San Diego",94833,"83,781","+13.2%","24.36","63.1","3,893.0/sq mi (1,503.1/km2)",1963-01-28
"382","San Marino","City","Los Angeles",12513,"13,147","−4.8%","3.77","9.8","3,319.1/sq mi (1,281.5/km2)",1913-04-25
"383","San Mateo","City","San Mateo",105661,"97,207","+8.7%","12.13","31.4","8,702.5/sq mi (3,360.0/km2)",1894-09-04
"384","San Pablo","City","Contra Costa",32127,"29,139","+10.3%","2.62","6.8","12,262.2/sq mi (4,734.5/km2)",1948-04-27
"385","San Rafael†","City","Marin",61271,"57,713","+6.2%","16.59","43.0","3,693.2/sq mi (1,426.0/km2)",1874-02-18
"386","San Ramon","City","Contra Costa",84605,"72,148","+17.3%","18.69","48.4","4,526.8/sq mi (1,747.8/km2)",1983-07-01
